"","Position","Previous.Position","Search.Volume","Keyword.Difficulty.Index","CPC","Traffic....","Traffic.Cost....","Competition","Number.of.Results","Timestamp"
"Position",1,0.498532413266979,-0.0057930911962762,-0.0699555667937674,-0.0702922194646022,-0.0519770368832294,-0.0368500899317767,-0.0631842432377745,0.000956464390444142,-0.065029810506901
"Previous.Position",0.498532413266979,1,0.00555163518444815,0.0883646039506536,-0.0464444446620868,-0.0362058652588359,-0.0255671404698055,-0.0556364189570152,-0.0151345448244526,0.0146055684255212
"Search.Volume",-0.0057930911962762,0.00555163518444815,1,0.0262125410605521,0.0140536291834265,0.300174080643807,0.305076775303336,-0.0270458888228165,0.0621626595685577,0.0732452372533342
"Keyword.Difficulty.Index",-0.0699555667937674,0.0883646039506536,0.0262125410605521,1,0.0269343988623053,0.0182052655099039,0.0145527649208372,-0.00758960268774804,0.00985629595737018,0.20702326824292
"CPC",-0.0702922194646022,-0.0464444446620868,0.0140536291834265,0.0269343988623053,1,0.0194458224846875,0.0402253230503504,0.482325165808805,-0.0251728237826963,0.0672394255341554
"Traffic....",-0.0519770368832294,-0.0362058652588359,0.300174080643807,0.0182052655099039,0.0194458224846875,1,0.799699841112925,0.0180189696991274,0.0196468486470986,0.0459938802099808
"Traffic.Cost....",-0.0368500899317767,-0.0255671404698055,0.305076775303336,0.0145527649208372,0.0402253230503504,0.799699841112925,1,0.0248461511449517,0.0233590696917102,0.0321909988157344
"Competition",-0.0631842432377745,-0.0556364189570152,-0.0270458888228165,-0.00758960268774804,0.482325165808805,0.0180189696991274,0.0248461511449517,1,-0.0443260759952002,0.0334529319844029
"Number.of.Results",0.000956464390444142,-0.0151345448244526,0.0621626595685577,0.00985629595737018,-0.0251728237826963,0.0196468486470986,0.0233590696917102,-0.0443260759952002,1,-0.0159167634924368
"Timestamp",-0.065029810506901,0.0146055684255212,0.0732452372533342,0.20702326824292,0.0672394255341554,0.0459938802099808,0.0321909988157344,0.0334529319844029,-0.0159167634924368,1
